Product_ID,Product_Name,Category,Price,Stock_Quantity,Supplier
TG001,Gadget 1,Charging,10.67,132,ChargeFast
TG002,Gadget 2,Charging,65.46,234,TechCorp
TG003,Gadget 3,Accessories,44.85,11,DeskMate
TG004,Gadget 4,Charging,92.02,42,PowerPlus
TG005,Gadget 5,Audio,49.79,12,SoundMax
TG006,Gadget 6,Cables,20.57,62,DeskMate
TG007,Gadget 7,Protection,57.67,54,SoundMax
TG008,Gadget 8,Audio,82.83,195,ChargeFast
TG009,Gadget 9,Audio,95.23,98,ChargeFast
TG010,Gadget 10,Cables,95.69,148,SoundMax
TG011,Gadget 11,Protection,18.89,70,ChargeFast
TG012,Gadget 12,Cables,40.21,39,TechCorp
TG013,Gadget 13,Charging,51.72,228,DeskMate
TG014,Gadget 14,Accessories,43.53,214,SoundMax
TG015,Gadget 15,Charging,63.93,21,GuardPro
TG016,Gadget 16,Cables,83.29,75,DeskMate
TG017,Gadget 17,Cables,25.99,108,GuardPro
TG018,Gadget 18,Cables,12.8,134,ChargeFast
TG019,Gadget 19,Accessories,14.68,169,ChargeFast
TG020,Gadget 20,Cables,46.64,115,PowerPlus
TG021,Gadget 21,Accessories,94.77,206,PowerPlus
TG022,Gadget 22,Charging,92.27,129,PowerPlus
TG023,Gadget 23,Protection,71.17,171,ChargeFast
TG024,Gadget 24,Accessories,30.36,146,DeskMate
TG025,Gadget 25,Accessories,19.68,40,ChargeFast
TG026,Gadget 26,Cables,29.46,118,GuardPro
TG027,Gadget 27,Accessories,95.9,30,DeskMate
TG028,Gadget 28,Audio,82.88,204,SoundMax
TG029,Gadget 29,Accessories,94.85,236,PowerPlus
TG030,Gadget 30,Charging,84.95,74,SoundMax
